name,artist,album,release_date,duration_ms
COUNT ON ME,BROCKHAMPTON,COUNT ON ME,2021-04-01,155200
Doomsday,MF DOOM,Operation: Doomsday (Complete),1999-04-20,298053
"Greenbacks - 12"" Version",MF DOOM,Operation: Doomsday (Complete),1999-04-20,237613
Who You Think I Am?,MF DOOM,Operation: Doomsday (Complete),1999-04-20,204160
Accordion,Madvillain,Madvillainy,2004-03-24,118853
Raid,Madvillain,Madvillainy,2004-03-24,150520
Great Day,Madvillain,Madvillainy,2004-03-24,136920
Fancy Clown,Madvillain,Madvillainy,2004-03-24,115826
Deep Fried Frenz,MF DOOM,MM..FOOD,2004-11-16,299626
Feel The Love,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,165053
Cudi Montage,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,197000
BANKROLL (feat. A$AP Rocky & A$AP Ferg),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,202560
CHAIN ON (feat. JPEGMAFIA),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,201253
THE LIGHT,BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,222786
WINDOWS (feat. SoGone SoFlexy),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,371133
We Don't Care,Kanye West,The College Dropout,2004-02-10,239880
Ghost Town,Kanye West,ye,2018-06-01,271386
Rapp Snitch Knishes (feat. Mr. Fantastik),MF DOOM,MM..FOOD,2004-11-16,172893
No Mistakes,Kanye West,ye,2018-06-01,123040
Violent Crimes,Kanye West,ye,2018-06-01,215320
Nikes,Frank Ocean,Blonde,2016-08-20,314075
3005,Childish Gambino,Because the Internet,2013-12-10,234215
Devil In A New Dress,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,351946
Azucar,Earl Sweatshirt,Some Rap Songs,2018-11-30,85840
Room in Here,Anderson .Paak,Malibu,2016-01-15,239173
Innamission,Smino,blkswn,2017-03-14,135360
WHEN I BALL,BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,203226
CANNON,BROCKHAMPTON,CANNON,2017-02-01,280234
Take Care,Drake,Take Care (Deluxe),2011-11-15,277386
SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator",Cherry Bomb + Instrumentals,2015-04-13,334363
SWAMP,BROCKHAMPTON,SATURATION II,2017-08-25,251963
White (feat. Frank Ocean),Odd Future,The OF Tape Vol. 2,2012-03-16,122933
Chewing Gum,Blood Orange,Negro Swan,2018-08-24,263869
Fazers,King Geedorah,Take Me To Your Leader,2003-06-17,197133
JEREMIAH - ORIGINAL,BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK",2021-06-04,183226
JEREMIAH - RMX,BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK",2021-06-04,179733
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2017-04-14,227360
Redemption (with Babes Wodumo),Zacari,Black Panther The Album Music From And Inspired By,2018-02-09,222093
LUMBERJACK,"Tyler, The Creator",LUMBERJACK,2021-06-16,138312
Headshots (4r Da Locals),Isaiah Rashad,Headshots (4r Da Locals),2021-06-18,193208
Sativa,Jhené Aiko,Trip,2017-09-22,276960
Because Of You - Remix,Ne-Yo,Because Of You (Remix feat. Kanye West),2007-01-01,224506
Spoil My Night (feat. Swae Lee),Post Malone,beerbongs & bentleys,2018-04-27,194560
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,121572
SAFARI,"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,177742
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,229564
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,155292
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,588139
RISE! (feat. DAISY WORLD),"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,203588
Cruisin',D'Angelo,Brown Sugar,1995-07-03,384666
WILSHIRE,"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,515865
CORSO,"Tyler, The Creator",CALL ME IF YOU GET LOST,2021-06-25,146481
Ego (feat. Kanye West) - Remix,Beyoncé,Above And Beyoncé Dance Mixes,2009-06-16,283933
We Belong Together,Mariah Carey,The Emancipation of Mimi,2005-01-01,201400
Get You (feat. Kali Uchis),Daniel Caesar,Get You - Single,2016-10-21,277297
SLUGGER (feat. $NOT & slowthai),Kevin Abstract,SLUGGER (feat. $NOT & slowthai),2021-07-16,256346
Surf,Mac Miller,Circles,2020-01-17,330506
The Worst In Me,KAYTRANADA,BUBBA,2019-12-13,226720
"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)","Tyler, The Creator",Cherry Bomb + Instrumentals,2015-04-13,401572
Return of the Mack,Mark Morrison,Return of the Mack,1996-04-22,213093
Pink + White,Frank Ocean,Blonde,2016-08-20,184516
White Ferrari,Frank Ocean,Blonde,2016-08-20,248807
Sierra Leone,Frank Ocean,channel ORANGE,2012-07-10,148760
Lost,Frank Ocean,channel ORANGE,2012-07-10,234093
SIERRA NIGHTS (feat. Ryan Beatty),Kevin Abstract,SIERRA NIGHTS (feat. Ryan Beatty),2021-08-19,263720
Loft Music,The Weeknd,Trilogy,2012-11-13,363640
Pasadena,Tinashe,Pasadena,2021-06-04,177577
Wanna Be,The Internet,Hive Mind,2018-07-20,267400
I Believed It (feat. Mac Miller),dvsn,I Believed It (feat. Mac Miller),2021-07-01,246609
North$ide,Destiny Rogers,Tomboy,2019-03-22,161666
Fly - FKJ Remix,June Marieezy,Fly (The Remixes),2015-03-16,252000
I'LL TAKE YOU ON (feat. Charlie Wilson),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09,254653
327,Westside Gunn,Pray for Paris,2020-04-17,349040
Charcoal Baby,Blood Orange,Negro Swan,2018-08-24,242341
Skate,Bruno Mars,Skate,2021-07-30,203122
Fastlane,King Geedorah,Take Me To Your Leader,2003-06-17,188813
21 (feat. YNG WeBB),AUGUST 08,EMOTIONAL CUH,2020-12-11,249094
Poison,Bell Biv DeVoe,Poison,1990-01-01,261853
Passionfruit,Drake,More Life,2017-03-18,298940
Believe What I Say,Kanye West,Donda,2021-08-29,242400
Moon,Kanye West,Donda,2021-08-29,156091
Wavin',ARDN,"""Alien""",2020-01-04,211019
